nombre;robos_totales
John Stockton;3265
Michael Jordan;2514
Scottie Pippen;2307
Clyde Drexler;2207
Karl Malone;2085
Magic Johnson;1724
Charles Barkley;1645
Larry Bird;1556
Chris Mullin;1532
David Robinson;1388
Patrick Ewing;1136
Christian Laettner;253
